,source,title,episodes,score,favorites,genres,start_date,total_duration
53,light_novel,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,12.0,8.73,14756,"['Drama', 'Ecchi', 'Fantasy']",2021-10-04,285
54,original,Psycho-Pass,22.0,8.35,36094,"['Action', 'Sci-Fi', 'Suspense']",2012-10-12,506
55,original,Mahou Shoujo Madoka★Magica,12.0,8.36,49685,"['Drama', 'Suspense']",2011-01-07,289
56,manga,Saiki Kusuo no Ψ-nan,120.0,8.43,25126,"['Comedy', 'Supernatural']",2016-07-04,660
57,manga,Great Teacher Onizuka,43.0,8.69,23555,"['Comedy', 'Drama']",1999-06-30,1110
58,light_novel,Bakemonogatari,15.0,8.34,46452,"['Mystery', 'Romance', 'Supernatural']",2009-07-03,377
59,light_novel,Re:Zero kara Hajimeru Isekai Seikatsu,25.0,8.25,61663,"['Drama', 'Fantasy', 'Suspense']",2016-04-04,637
60,light_novel,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,1.0,8.62,9227,"['Drama', 'Romance', 'Supernatural']",2019-06-15,90
61,manga,Naruto: Shippuuden,500.0,8.24,98934,"['Action', 'Adventure', 'Fantasy']",2007-02-15,11575
62,manga,Dr. Stone,24.0,8.29,24380,"['Adventure', 'Comedy', 'Sci-Fi']",2019-07-05,576
63,light_novel,Mushoku Tensei: Isekai Ittara Honki Dasu,11.0,8.37,23516,"['Drama', 'Ecchi', 'Fantasy']",2021-01-11,260
64,light_novel,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,13.0,8.27,42100,"['Comedy', 'Drama', 'Romance', 'Supernatural']",2018-10-04,312
65,light_novel,Kono Subarashii Sekai ni Shukufuku wo! 2,10.0,8.28,11352,"['Adventure', 'Comedy', 'Fantasy']",2017-01-12,230
66,light_novel,Monogatari Series: Second Season,26.0,8.77,22486,"['Comedy', 'Mystery', 'Romance', 'Supernatural']",2013-07-07,666
67,light_novel,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,13.0,8.37,10883,"['Drama', 'Fantasy', 'Suspense']",2020-07-08,351
68,manga,Haikyuu!! To the Top Part 2,12.0,8.54,5577,['Sports'],2020-10-03,287
69,manga,Monster,74.0,8.84,39677,"['Drama', 'Mystery', 'Suspense']",2004-04-07,1776
70,light_novel,Fate/Zero,13.0,8.29,32207,"['Action', 'Fantasy', 'Supernatural']",2011-10-02,364
71,light_novel,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,12.0,8.48,11214,"['Drama', 'Fantasy', 'Suspense']",2021-01-06,342
72,light_novel,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,1.0,8.47,4363,"['Adventure', 'Comedy', 'Fantasy']",2019-08-30,90
73,manga,Kaguya-sama wa Kokurasetai: Ultra Romantic,13.0,9.14,19952,"['Comedy', 'Suspense']",2022-04-09,311
74,visual_novel,Steins;Gate 0,23.0,8.52,10699,"['Drama', 'Sci-Fi', 'Suspense']",2018-04-12,544
75,manga,Haikyuu!! To the Top,13.0,8.36,4787,['Sports'],2020-01-11,312
76,manga,Tensei shitara Slime Datta Ken 2nd Season,12.0,8.4,9674,"['Action', 'Adventure', 'Comedy', 'Fantasy']",2021-01-12,284
77,visual_novel,Fate/stay night: Unlimited Blade Works 2nd Season,13.0,8.32,8737,"['Action', 'Fantasy', 'Supernatural']",2015-04-05,320
78,manga,Hellsing Ultimate,10.0,8.36,19580,"['Action', 'Horror', 'Supernatural']",2006-02-10,493
79,novel,Hotaru no Haka,1.0,8.5,6871,['Drama'],1988-04-16,88
80,original,Tonari no Totoro,1.0,8.26,7268,"['Adventure', 'Supernatural']",1988-04-16,86
81,original,Tenki no Ko,1.0,8.31,10743,"['Drama', 'Fantasy', 'Romance', 'Slice of Life']",2019-07-19,112
82,manga,Boku no Hero Academia 2nd Season,25.0,8.15,17126,['Action'],2017-04-01,595
83,manga,Sono Bisque Doll wa Koi wo Suru,12.0,8.34,15834,"['Romance', 'Slice of Life']",2022-01-09,284
